doi,title,venue,year,function,method,validation_evidence
10.1109/apec43580.2023.10131605,Overview of Machine Learning-Enabled Battery State Estimation Methods,Applied Power Electronics Conference,2023,Overview,Review of ML-enabled estimation,Not applicable (overview)
10.1109/vppc55846.2022.10003444,Machine Learning Applied to Battery Prognostics based on Advanced State of Health Estimation,Vehicle Power and Propulsion Conference,2022,Prognostics,ML on aging data,Hardware (stated)
10.1109/itec.2019.8790543,Li-ion Battery State of Charge Estimation Using Long Short-Term Memory Recurrent Neural Network with Transfer Learning,IEEE Transportation Electrification Conference and Expo,2019,SOC,LSTM RNN,Not stated in abstract
10.1109/vppc46532.2019.8952458,"State of Charge Estimation of LiFePO4 Battery Used in Electric Vehicles Using Support Vector Regression, PCA and DP Battery Model",Vehicle Power and Propulsion Conference,2019,SOC,SVR + PCA with DP model,Not stated in abstract
10.1109/vppc46532.2019.8952284,Real-Time State of Charge Estimation of Electrochemical Model for Lithium-Ion Battery,Vehicle Power and Propulsion Conference,2019,SOC,KF on reduced electrochemical model,Simulation-level
10.23919/acc50511.2021.9482734,Online State of Charge Estimation of Lithium-ion Battery Cells: A Multiple Model Adaptive Estimation Approach,American Control Conference,2021,SOC,Multiple-model adaptive estimation,Simulation-level
10.1109/vppc53923.2021.9699201,Li-ion battery State-of-Charge estimation using computationally efficient neural network models,Vehicle Power and Propulsion Conference,2021,SOC,Computationally efficient NN,Simulation-level
10.1109/itec53557.2022.9813961,Battery Dual Extended Kalman Filter State of Charge and Health Estimation Strategy for Traction Applications,IEEE Transportation Electrification Conference and Expo,2022,SOC+SOH,Dual EKF,Not stated in abstract
10.23919/acc55779.2023.10156326,State of Charge and State of Health estimation in large lithium-ion battery packs,American Control Conference,2023,SOC+SOH,Real-time estimator + batch least squares,Not stated in abstract
10.23919/acc60939.2024.10644628,Weaknesses and Improvements of the Extended Kalman Filter for Battery State-of-Charge and State-of-Health Estimation,American Control Conference,2024,SOC+SOH,EKF critique and improvement,Simulation-level
10.1109/vppc53923.2021.9699273,State of Health Estimation using Machine Learning for Li-ion battery on Electric Vehicles,Vehicle Power and Propulsion Conference,2021,SOH,ML ensemble,Public dataset
10.23919/ecc54610.2021.9655199,Battery State of Health Estimation via Reinforcement Learning,European Control Conference,2021,SOH,Reinforcement learning + observer,Not stated in abstract
10.1109/ccdc55256.2022.10033695,State-of-health estimation of lithium-ion battery based on feature transfer learning,Chinese Control and Decision Conference,2022,SOH,CNN-BiLSTM transfer learning,Hardware (stated) + public data
10.1109/itec55900.2023.10187012,"Lithium-ion Battery State-of-Health Estimation via Histogram Data, Principal Component Analysis, and Machine Learning",IEEE Transportation Electrification Conference and Expo,2023,SOH,Histogram + PCA + regression,Public dataset
