doi,title,journal,year,cites,areas
10.1038/s42256-021-00312-3,Machine learning pipeline for battery state-of-health estimation,Nature Machine Intelligence,2021,613,Second life
10.1109/mie.2020.2964814,"Advanced Fault Diagnosis for Lithium-Ion Battery Systems: A Review of Fault Mechanisms, Fault Features, and Diagnosis Procedures",IEEE Industrial Electronics Magazine,2020,555,Fault & safety
10.1109/access.2020.2980961,Machine Learning Applied to Electrified Vehicle Battery State of Charge and State of Health Estimation: State-of-the-Art,IEEE Access,2020,462,Second life
10.1016/j.energy.2020.117664,State-of-charge estimation of lithium-ion batteries using LSTM and UKF,Energy,2020,441,State estimation (SOC)
10.1016/j.energy.2019.116467,State of health estimation for Li-Ion battery using incremental capacity analysis and Gaussian process regression,Energy,2020,436,Health estimation (SOH)
10.1016/j.energy.2020.118000,Data-driven state of charge estimation for lithium-ion battery packs based on Gaussian process regression,Energy,2020,395,Health estimation (SOH);Thermal management
10.1016/j.apenergy.2021.117346,A review of non-probabilistic machine learning-based state of health estimation techniques for Lithium-ion battery,Applied Energy,2021,366,Health estimation (SOH);Second life;Transfer learning
10.1016/j.est.2020.101741,A novel deep learning framework for state of health estimation of lithium-ion battery,Journal of Energy Storage,2020,361,Health estimation (SOH);State estimation (SOC);Transfer learning
10.1109/tvt.2020.3014932,State-of-Health Estimation and Remaining-Useful-Life Prediction for Lithium-Ion Battery Using a Hybrid Data-Driven Method,IEEE Transactions on Vehicular Technology,2020,357,Thermal management
10.1038/s41467-023-38458-w,Deep learning to estimate lithium-ion battery state of health without additional degradation experiments,Nature Communications,2023,355,Transfer learning
10.1109/tpel.2021.3134701,Data-Driven Battery State of Health Estimation Based on Random Partial Charging Data,IEEE Transactions on Power Electronics,2022,353,Health estimation (SOH)
10.1016/j.energy.2021.121236,A method for state-of-charge estimation of lithium-ion batteries based on PSO-LSTM,Energy,2021,350,State estimation (SOC)
10.1016/j.rser.2021.111903,Machine learning in state of health and remaining useful life estimation: Theoretical and technological development in battery degradation modelling,Renewable and Sustainable Energy Reviews,2022,316,Benchmarks & data;Second life
10.1016/j.energy.2020.118866,An Intelligent Fault Diagnosis Method for Lithium Battery Systems Based on Grid Search Support Vector Machine,Energy,2021,315,Fault & safety
10.1016/j.est.2022.104215,State of health estimation of lithium-ion battery based on improved ant lion optimization and support vector regression,Journal of Energy Storage,2022,305,Health estimation (SOH)
10.3390/wevj12010038,State of Charge Estimation of Lithium-Ion Battery for Electric Vehicles Using Machine Learning Algorithms,World Electric Vehicle Journal,2021,302,Digital twins;Health estimation (SOH);Second life;State estimation (SOC);Thermal management
10.1016/j.energy.2021.120205,Early prediction of battery lifetime via a machine learning based framework,Energy,2021,278,Prognostics (RUL)
10.1016/j.egyr.2023.01.108,A review of machine learning state-of-charge and state-of-health estimation algorithms for lithium-ion batteries,Energy Reports,2023,272,Health estimation (SOH);State estimation (SOC)
10.1109/tie.2021.3071679,An Enhanced Equivalent Circuit Model With Real-Time Parameter Identification for Battery State-of-Charge Estimation,IEEE Transactions on Industrial Electronics,2022,267,Other
10.1016/j.est.2022.104901,Lithium-ion battery capacity and remaining useful life prediction using board learning system and long short-term memory neural network,Journal of Energy Storage,2022,247,Prognostics (RUL)
10.1016/j.etran.2023.100254,Challenges and outlook for lithium-ion battery fault diagnosis methods from the laboratory to real world applications,eTransportation,2023,245,Fault & safety
10.1016/j.apenergy.2021.116897,A machine-learning prediction method of lithium-ion battery life based on charge process for different applications,Applied Energy,2021,240,Cell balancing & ECM;Digital twins;Fault & safety;Prognostics (RUL);State estimation (SOC);Thermal management
10.1016/j.ensm.2022.06.053,Flexible battery state of health and state of charge estimation using partial charging data and deep learning,Energy Storage Materials,2022,235,Health estimation (SOH)
10.1016/j.ensm.2022.05.007,Battery degradation prediction against uncertain future conditions with recurrent neural network enabled deep learning,Energy Storage Materials,2022,234,Graph networks
